bufferSize;packetLength;trafficPattern;packetInjectionRate;Average latency;Average latency (cycles);Minimum latency;Minimum latency (cycles);Maximum latency;Maximum latency (cycles);Average hop count;Minimum hop count;Maximum hop count;Total sent flits;Total received flits;Total sent packets;Total received packets;Total injected packets;Simulated time;Simulated clock cycles;Delta cycles;Total flits at wrong Dest;Total modified flits (Router);Total modified flits (NI);Total dropped flits;Total ARQ sent;Total ACK sent;Total Retransmissions;Single Retransmissions ARQ;Multi Retransmissions ARQ;Number Flits in FlitBuffer;Acceptance Rate;Information Gain;Residual Error Probability;Residual Error Prob (Flits);
5;32;TrafficPattern::Bitshuffle;0.001;3956 ns;395;2020 ns;202;12160 ns;1216;4;2;6;2560;2560;80;80;80;300 us;30000;21073;0;0;0;0;0;0;0;0;0;0;0.032;1;0;0;
5;40;TrafficPattern::Bitshuffle;0.001;4439 ns;443;2500 ns;250;12660 ns;1266;4;2;6;3200;3200;80;80;80;300 us;30000;25834;0;0;0;0;0;0;0;0;0;0;0.04;1;0;0;
5;48;TrafficPattern::Bitshuffle;0.001;4922 ns;492;2980 ns;298;13140 ns;1314;4;2;6;3840;3840;80;80;80;300 us;30000;30265;0;0;0;0;0;0;0;0;0;0;0.048;1;0;0;
5;56;TrafficPattern::Bitshuffle;0.001;5403 ns;540;3460 ns;346;13620 ns;1362;4;2;6;4480;4480;80;80;80;300 us;30000;35111;0;0;0;0;0;0;0;0;0;0;0.056;1;0;0;
5;64;TrafficPattern::Bitshuffle;0.001;5884 ns;588;3940 ns;394;14040 ns;1404;4;2;6;5120;5120;80;80;80;300 us;30000;40018;0;0;0;0;0;0;0;0;0;0;0.064;1;0;0;
5;80;TrafficPattern::Bitshuffle;0.001;6850 ns;685;4900 ns;490;15060 ns;1506;4;2;6;6400;6400;80;80;80;300 us;30000;49452;0;0;0;0;0;0;0;0;0;0;0.08;1;0;0;
5;96;TrafficPattern::Bitshuffle;0.001;7605 ns;760;5860 ns;586;16020 ns;1602;3;2;6;7680;7488;80;78;80;300 us;30000;59232;0;0;0;0;0;0;0;0;0;125;0.096;1;0.025;0.00872396;
5;112;TrafficPattern::Bitshuffle;0.001;8460 ns;846;6820 ns;682;16960 ns;1696;3;2;6;8960;8624;80;77;80;300 us;30000;68244;0;0;0;0;0;0;0;0;0;92;0.112;1;0.0375;0.0272321;
5;128;TrafficPattern::Bitshuffle;0.001;9711 ns;971;7780 ns;778;17920 ns;1792;4;2;6;10240;9728;80;76;80;300 us;30000;77068;0;0;0;0;0;0;0;0;0;382;0.128;1;0.05;0.0126953;
5;144;TrafficPattern::Bitshuffle;0.001;10958 ns;1095;8740 ns;874;18900 ns;1890;4;2;6;11520;10656;80;74;80;300 us;30000;84053;0;0;0;0;0;0;0;0;0;766;0.144;1;0.075;0.00850694;
5;160;TrafficPattern::Bitshuffle;0.001;11920 ns;1192;9700 ns;970;19880 ns;1988;4;2;6;12800;11840;80;74;80;300 us;30000;92271;0;0;0;0;0;0;0;0;0;765;0.16;1;0.075;0.0152344;
5;176;TrafficPattern::Bitshuffle;0.001;12825 ns;1282;10660 ns;1066;20840 ns;2084;3;2;6;14080;12496;80;71;80;300 us;30000;96738;0;0;0;0;0;0;0;0;0;1221;0.176;1;0.1125;0.0257812;
5;192;TrafficPattern::Bitshuffle;0.001;13685 ns;1368;11620 ns;1162;21780 ns;2178;3;2;6;15360;13440;80;70;80;300 us;30000;97768;0;0;0;0;0;0;0;0;0;1246;0.192;1;0.125;0.0438802;
5;208;TrafficPattern::Bitshuffle;0.001;14659 ns;1465;12580 ns;1258;22760 ns;2276;3;2;6;16640;14560;80;70;80;300 us;30000;98914;0;0;0;0;0;0;0;0;0;1113;0.208;1;0.125;0.058113;
5;224;TrafficPattern::Bitshuffle;0.001;15634 ns;1563;13540 ns;1354;23720 ns;2372;3;2;6;17920;15680;80;70;80;300 us;30000;99961;0;0;0;0;0;0;0;0;0;886;0.224;1;0.125;0.075558;
5;240;TrafficPattern::Bitshuffle;0.001;16607 ns;1660;14500 ns;1450;24680 ns;2468;3;2;6;19200;16800;80;70;80;300 us;30000;100052;0;0;0;0;0;0;0;0;0;664;0.24;1;0.125;0.0904167;
5;256;TrafficPattern::Bitshuffle;0.001;21930 ns;2193;16660 ns;1666;29240 ns;2924;4;2;6;20480;17408;80;68;80;300 us;30000;98718;0;0;0;0;0;0;0;0;0;1689;0.256;1;0.15;0.0675293;
6;16;TrafficPattern::Bitshuffle;0.001;2991 ns;299;1060 ns;106;11220 ns;1122;4;2;6;1280;1280;80;80;80;300 us;30000;11465;0;0;0;0;0;0;0;0;0;0;0.016;1;0;0;
6;20;TrafficPattern::Bitshuffle;0.001;3235 ns;323;1300 ns;130;11460 ns;1146;4;2;6;1600;1600;80;80;80;300 us;30000;13910;0;0;0;0;0;0;0;0;0;0;0.02;1;0;0;
6;24;TrafficPattern::Bitshuffle;0.001;3474 ns;347;1540 ns;154;11640 ns;1164;4;2;6;1920;1920;80;80;80;300 us;30000;16246;0;0;0;0;0;0;0;0;0;0;0.024;1;0;0;
6;28;TrafficPattern::Bitshuffle;0.001;3715 ns;371;1780 ns;178;11940 ns;1194;4;2;6;2240;2240;80;80;80;300 us;30000;18682;0;0;0;0;0;0;0;0;0;0;0.028;1;0;0;
6;32;TrafficPattern::Bitshuffle;0.001;3958 ns;395;2020 ns;202;12180 ns;1218;4;2;6;2560;2560;80;80;80;300 us;30000;20938;0;0;0;0;0;0;0;0;0;0;0.032;1;0;0;
6;40;TrafficPattern::Bitshuffle;0.001;4439 ns;443;2500 ns;250;12660 ns;1266;4;2;6;3200;3200;80;80;80;300 us;30000;25771;0;0;0;0;0;0;0;0;0;0;0.04;1;0;0;
6;48;TrafficPattern::Bitshuffle;0.001;4920 ns;492;2980 ns;298;13120 ns;1312;4;2;6;3840;3840;80;80;80;300 us;30000;30562;0;0;0;0;0;0;0;0;0;0;0.048;1;0;0;
6;56;TrafficPattern::Bitshuffle;0.001;5401 ns;540;3460 ns;346;13560 ns;1356;4;2;6;4480;4480;80;80;80;300 us;30000;35215;0;0;0;0;0;0;0;0;0;0;0.056;1;0;0;
6;64;TrafficPattern::Bitshuffle;0.001;5885 ns;588;3940 ns;394;14080 ns;1408;4;2;6;5120;5120;80;80;80;300 us;30000;40058;0;0;0;0;0;0;0;0;0;0;0.064;1;0;0;
6;80;TrafficPattern::Bitshuffle;0.001;6847 ns;684;4900 ns;490;15 us;1500;4;2;6;6400;6400;80;80;80;300 us;30000;49586;0;0;0;0;0;0;0;0;0;0;0.08;1;0;0;
6;96;TrafficPattern::Bitshuffle;0.001;7496 ns;749;5860 ns;586;16020 ns;1602;3;2;6;7680;7392;80;77;80;300 us;30000;58833;0;0;0;0;0;0;0;0;0;185;0.096;1;0.0375;0.0134115;
6;112;TrafficPattern::Bitshuffle;0.001;8459 ns;845;6820 ns;682;16920 ns;1692;3;2;6;8960;8624;80;77;80;300 us;30000;68151;0;0;0;0;0;0;0;0;0;92;0.112;1;0.0375;0.0272321;
6;128;TrafficPattern::Bitshuffle;0.001;9603 ns;960;7780 ns;778;17940 ns;1794;3;2;6;10240;9600;80;75;80;300 us;30000;76278;0;0;0;0;0;0;0;0;0;383;0.128;1;0.0625;0.0250977;
6;144;TrafficPattern::Bitshuffle;0.001;10959 ns;1095;8740 ns;874;18920 ns;1892;4;2;6;11520;10656;80;74;80;300 us;30000;83697;0;0;0;0;0;0;0;0;0;765;0.144;1;0.075;0.00859375;
6;160;TrafficPattern::Bitshuffle;0.001;11918 ns;1191;9700 ns;970;19880 ns;1988;4;2;6;12800;11840;80;74;80;300 us;30000;92361;0;0;0;0;0;0;0;0;0;765;0.16;1;0.075;0.0152344;
6;176;TrafficPattern::Bitshuffle;0.001;12711 ns;1271;10660 ns;1066;20840 ns;2084;3;2;6;14080;12320;80;70;80;300 us;30000;97133;0;0;0;0;0;0;0;0;0;1373;0.176;1;0.125;0.0274858;
6;192;TrafficPattern::Bitshuffle;0.001;13798 ns;1379;11620 ns;1162;21800 ns;2180;3;2;6;15360;13632;80;71;80;300 us;30000;97340;0;0;0;0;0;0;0;0;0;1126;0.192;1;0.1125;0.0391927;
6;208;TrafficPattern::Bitshuffle;0.001;14659 ns;1465;12580 ns;1258;22760 ns;2276;3;2;6;16640;14560;80;70;80;300 us;30000;98370;0;0;0;0;0;0;0;0;0;1113;0.208;1;0.125;0.058113;
6;224;TrafficPattern::Bitshuffle;0.001;15633 ns;1563;13540 ns;1354;23720 ns;2372;3;2;6;17920;15680;80;70;80;300 us;30000;99570;0;0;0;0;0;0;0;0;0;890;0.224;1;0.125;0.0753348;
6;240;TrafficPattern::Bitshuffle;0.001;16605 ns;1660;14500 ns;1450;24680 ns;2468;3;2;6;19200;16800;80;70;80;300 us;30000;99650;0;0;0;0;0;0;0;0;0;665;0.24;1;0.125;0.0903646;
6;256;TrafficPattern::Bitshuffle;0.001;21934 ns;2193;16660 ns;1666;29240 ns;2924;4;2;6;20480;17408;80;68;80;300 us;30000;98170;0;0;0;0;0;0;0;0;0;1688;0.256;1;0.15;0.0675781;
2;16;TrafficPattern::Transpose1;0.001;4949 ns;494;1060 ns;106;11700 ns;1170;4;2;8;1280;1280;80;80;80;300 us;30000;13433;0;0;0;0;0;0;0;0;0;0;0.016;1;0;0;
2;20;TrafficPattern::Transpose1;0.001;5199 ns;519;1300 ns;130;12020 ns;1202;4;2;8;1600;1600;80;80;80;300 us;30000;15750;0;0;0;0;0;0;0;0;0;0;0.02;1;0;0;
2;24;TrafficPattern::Transpose1;0.001;5449 ns;544;1540 ns;154;12340 ns;1234;4;2;8;1920;1920;80;80;80;300 us;30000;18283;0;0;0;0;0;0;0;0;0;0;0.024;1;0;0;
2;28;TrafficPattern::Transpose1;0.001;5699 ns;569;1780 ns;178;12660 ns;1266;4;2;8;2240;2240;80;80;80;300 us;30000;20599;0;0;0;0;0;0;0;0;0;0;0.028;1;0;0;
2;32;TrafficPattern::Transpose1;0.001;5948 ns;594;2020 ns;202;12980 ns;1298;4;2;8;2560;2560;80;80;80;300 us;30000;23184;0;0;0;0;0;0;0;0;0;0;0.032;1;0;0;
2;40;TrafficPattern::Transpose1;0.001;6449 ns;644;2500 ns;250;13620 ns;1362;4;2;8;3200;3200;80;80;80;300 us;30000;27846;0;0;0;0;0;0;0;0;0;0;0.04;1;0;0;
2;48;TrafficPattern::Transpose1;0.001;6949 ns;694;2980 ns;298;14260 ns;1426;4;2;8;3840;3840;80;80;80;300 us;30000;32621;0;0;0;0;0;0;0;0;0;0;0.048;1;0;0;
2;56;TrafficPattern::Transpose1;0.001;7448 ns;744;3460 ns;346;14900 ns;1490;4;2;8;4480;4480;80;80;80;300 us;30000;37664;0;0;0;0;0;0;0;0;0;0;0.056;1;0;0;
2;64;TrafficPattern::Transpose1;0.001;7948 ns;794;3940 ns;394;15540 ns;1554;4;2;8;5120;5120;80;80;80;300 us;30000;42164;0;0;0;0;0;0;0;0;0;0;0.064;1;0;0;
2;80;TrafficPattern::Transpose1;0.001;8949 ns;894;4900 ns;490;16820 ns;1682;4;2;8;6400;6400;80;80;80;300 us;30000;52015;0;0;0;0;0;0;0;0;0;0;0.08;1;0;0;
2;96;TrafficPattern::Transpose1;0.001;9948 ns;994;5860 ns;586;18100 ns;1810;4;2;8;7680;7680;80;80;80;300 us;30000;62218;0;0;0;0;0;0;0;0;0;0;0.096;1;0;0;
